               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.040674,            0.011078,           0.0086088,             0.82385,             0.98332,             0.96176,             0.52186,            0.031922,            0.005761,           0.0034544,           0.0078022,           0.0078022,           0.0078022
                 113,            0.032132,           0.0095776,           0.0074596,             0.99351,                   1,               0.995,              0.6048,            0.026418,           0.0055795,           0.0036847,           0.0077824,           0.0077824,           0.0077824
                 114,            0.034328,            0.012156,           0.0080416,             0.72318,             0.95833,             0.90596,              0.5678,            0.028341,           0.0057142,            0.004391,           0.0077626,           0.0077626,           0.0077626
                 115,             0.03884,            0.010027,            0.010149,             0.74891,             0.97251,             0.89632,             0.47303,            0.029243,           0.0055901,           0.0034518,           0.0077428,           0.0077428,           0.0077428
                 116,            0.038764,           0.0093996,           0.0077826,             0.74891,             0.97251,             0.89632,             0.47303,            0.029243,           0.0055901,           0.0034518,            0.007723,            0.007723,            0.007723
                 117,            0.035646,           0.0094547,           0.0086896,             0.74005,             0.99855,             0.87413,             0.53155,            0.027194,           0.0055161,           0.0035245,           0.0077032,           0.0077032,           0.0077032
                 118,            0.037281,            0.011322,           0.0094722,             0.94418,                0.95,             0.96734,             0.53992,            0.027493,            0.005633,           0.0049579,           0.0076834,           0.0076834,           0.0076834
                 119,            0.038014,            0.011014,            0.006657,             0.85284,                0.95,             0.96137,             0.55742,            0.032908,            0.005596,           0.0064967,           0.0076636,           0.0076636,           0.0076636
                 120,            0.039966,             0.01116,           0.0090009,             0.85284,                0.95,             0.96137,             0.55742,            0.032908,            0.005596,           0.0064967,           0.0076438,           0.0076438,           0.0076438
                 121,            0.038384,            0.010847,            0.011115,             0.74933,             0.94873,             0.89221,              0.6283,            0.027728,           0.0054194,           0.0069331,            0.007624,            0.007624,            0.007624
                 122,              0.0373,            0.011158,           0.0091714,             0.94167,                0.95,             0.97083,             0.65555,            0.027781,            0.005564,           0.0068002,           0.0076042,           0.0076042,           0.0076042
                 123,            0.038129,           0.0092913,           0.0088747,             0.81056,                0.95,             0.94052,               0.617,            0.026412,           0.0055044,           0.0058116,           0.0075844,           0.0075844,           0.0075844
                 124,            0.034581,           0.0099733,           0.0082465,             0.81056,                0.95,             0.94052,               0.617,            0.026412,           0.0055044,           0.0058116,           0.0075646,           0.0075646,           0.0075646
                 125,            0.030821,            0.011009,           0.0083034,             0.86068,             0.93901,             0.95683,              0.7286,            0.021213,           0.0052845,           0.0056818,           0.0075448,           0.0075448,           0.0075448
                 126,            0.032245,            0.011616,             0.01218,              0.7452,                0.95,             0.93235,             0.63597,            0.023421,           0.0054815,           0.0056588,            0.007525,            0.007525,            0.007525
                 127,            0.033595,            0.011105,            0.010001,             0.75853,               0.975,             0.96388,             0.52176,            0.030386,           0.0057246,           0.0049683,           0.0075052,           0.0075052,           0.0075052
                 128,            0.039819,            0.011936,           0.0078424,             0.75853,               0.975,             0.96388,             0.52176,            0.030386,           0.0057246,           0.0049683,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034895,            0.010696,           0.0084086,             0.76571,             0.99627,             0.82411,             0.47744,            0.027607,           0.0055787,            0.004383,           0.0074656,           0.0074656,           0.0074656
                 130,            0.037005,            0.010777,            0.010952,             0.71794,             0.98759,             0.82424,             0.50426,             0.03085,           0.0054653,           0.0043087,           0.0074458,           0.0074458,           0.0074458
                 131,            0.044375,            0.011511,            0.013494,             0.96542,             0.98153,             0.99024,             0.72066,            0.022438,           0.0052562,           0.0047109,            0.007426,            0.007426,            0.007426
                 132,            0.030297,           0.0094556,            0.010037,             0.96542,             0.98153,             0.99024,             0.72066,            0.022438,           0.0052562,           0.0047109,           0.0074062,           0.0074062,           0.0074062
                 133,            0.029768,            0.009927,            0.009803,             0.96524,                   1,             0.99262,             0.71465,            0.019828,            0.005074,           0.0046677,           0.0073864,           0.0073864,           0.0073864
                 134,             0.02968,             0.01087,           0.0088996,             0.93238,             0.94856,             0.98396,             0.59191,            0.024775,           0.0051171,           0.0049637,           0.0073666,           0.0073666,           0.0073666
                 135,            0.033981,            0.011705,           0.0088596,             0.85124,              0.9835,             0.99214,             0.61785,            0.030387,           0.0053841,           0.0048865,           0.0073468,           0.0073468,           0.0073468
                 136,            0.043342,            0.010833,             0.01006,             0.85124,              0.9835,             0.99214,             0.61785,            0.030387,           0.0053841,           0.0048865,            0.007327,            0.007327,            0.007327
                 137,            0.036016,            0.011488,            0.010005,             0.98238,                   1,               0.995,             0.66445,            0.025023,           0.0052785,           0.0048212,           0.0073072,           0.0073072,           0.0073072
                 138,            0.035566,            0.011807,            0.010484,             0.99442,                   1,               0.995,             0.66673,            0.026261,            0.005176,           0.0043022,           0.0072874,           0.0072874,           0.0072874
                 139,             0.03562,            0.010007,           0.0086819,             0.90098,             0.94626,             0.99381,              0.5407,            0.026383,           0.0052911,           0.0043415,           0.0072676,           0.0072676,           0.0072676
                 140,             0.03673,            0.011106,           0.0093074,             0.90098,             0.94626,             0.99381,              0.5407,            0.026383,           0.0052911,           0.0043415,           0.0072478,           0.0072478,           0.0072478
                 141,            0.036524,            0.010398,            0.010162,             0.90415,             0.95758,             0.98562,             0.59095,            0.024388,           0.0052297,            0.004158,            0.007228,            0.007228,            0.007228
                 142,            0.038858,           0.0097579,           0.0083011,             0.97379,             0.92917,              0.9804,             0.61969,            0.034163,           0.0053738,           0.0039647,           0.0072082,           0.0072082,           0.0072082
                 143,            0.046217,            0.010619,           0.0079643,             0.97117,             0.98895,              0.9942,             0.68156,            0.024041,           0.0051881,           0.0041356,           0.0071884,           0.0071884,           0.0071884
                 144,            0.037931,            0.010032,           0.0080567,             0.97117,             0.98895,              0.9942,             0.68156,            0.024041,           0.0051881,           0.0041356,           0.0071686,           0.0071686,           0.0071686
                 145,            0.031887,            0.010091,            0.010921,             0.94994,             0.99648,               0.995,             0.73157,              0.0191,           0.0051428,           0.0048063,           0.0071488,           0.0071488,           0.0071488
